class,model,kernel,mmd²,p_value,effect_size,params
969,bgan,mixed_kernel,0.08786118030548096,0.0019960079807788134,0.08786118030548096,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(617.7085, device='cuda:0'), 'alpha': 0.5}"
969,bgan,w2_ot,25.683431712451817,,,{}
969,midj,rbf_kernel,0.07424437999725342,0.0019960079807788134,4.6692406613146886e-05,"{'gamma': tensor(0.0006, device='cuda:0')}"
969,midj,laplacian_kernel,0.05719262361526489,0.0019960079807788134,9.258837235393003e-05,"{'sigma': tensor(617.7085, device='cuda:0')}"
969,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 5.9375,  0.6096, -0.2773,  ..., -0.1216,  1.3892, -0.1510],
        [ 0.6096,  5.0941, -0.4442,  ...,  0.9336,  0.5256, -1.0299],
        [-0.2772, -0.4442,  6.5176,  ..., -0.2170, -0.6885,  0.8058],
        ...,
        [-0.1215,  0.9336, -0.2171,  ...,  5.3402, -0.1498,  0.2716],
        [ 1.3890,  0.5256, -0.6885,  ..., -0.1499,  6.7269, -0.1983],
        [-0.1510, -1.0299,  0.8057,  ...,  0.2717, -0.1983,  5.1770]],
       device='cuda:0')}"
969,midj,mixed_kernel,0.06571829319000244,0.0019960079807788134,0.06571829319000244,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(617.7085, device='cuda:0'), 'alpha': 0.5}"
969,midj,w2_ot,22.955348870166638,,,{}
969,sd_15,rbf_kernel,0.09749495983123779,0.0019960079807788134,6.1314734921325e-05,"{'gamma': tensor(0.0006, device='cuda:0')}"
969,sd_15,laplacian_kernel,0.07190066576004028,0.0019960079807788134,0.00011639902368187904,"{'sigma': tensor(617.7085, device='cuda:0')}"
969,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 5.7328,  0.5005,  0.4840,  ..., -0.2128,  0.9020, -0.5771],
        [ 0.5005,  5.3070, -0.4527,  ...,  0.2743,  0.3437, -0.1046],
        [ 0.4841, -0.4526,  5.0189,  ..., -0.6567, -0.2669,  0.4251],
        ...,
        [-0.2129,  0.2742, -0.6567,  ...,  4.7233,  0.5752, -0.1400],
        [ 0.9020,  0.3438, -0.2670,  ...,  0.5752,  6.0082, -0.6557],
        [-0.5771, -0.1046,  0.4251,  ..., -0.1399, -0.6557,  5.9546]],
       device='cuda:0')}"
969,sd_15,mixed_kernel,0.08469772338867188,0.0019960079807788134,0.08469772338867188,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(617.7085, device='cuda:0'), 'alpha': 0.5}"
969,sd_15,w2_ot,23.938500551937892,,,{}
177,bgan,rbf_kernel,0.0532301664352417,0.0019960079807788134,4.525854819803499e-05,"{'gamma': tensor(0.0009, device='cuda:0')}"
177,bgan,laplacian_kernel,0.03607064485549927,0.0019960079807788134,6.896461854921654e-05,"{'sigma': tensor(523.0312, device='cuda:0')}"
177,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 4.5535e+00,  2.3667e-01,  3.0632e-01,  ..., -1.5587e-01,
          1.1430e-03, -4.8530e-02],
        [ 2.3663e-01,  4.0256e+00, -2.8060e-01,  ..., -3.0541e-01,
          4.8724e-01,  2.5290e-01],
        [ 3.0632e-01, -2.8057e-01,  3.9330e+00,  ...,  1.3276e-01,
         -4.5469e-01,  5.7240e-02],
        ...,
        [-1.5590e-01, -3.0545e-01,  1.3278e-01,  ...,  4.2864e+00,
         -4.7142e-01, -3.9281e-01],
        [ 1.1281e-03,  4.8726e-01, -4.5473e-01,  ..., -4.7142e-01,
          4.5070e+00,  2.9781e-02],
        [-4.8523e-02,  2.5289e-01,  5.7290e-02,  ..., -3.9280e-01,
          2.9728e-02,  4.4223e+00]], device='cuda:0')}"
177,bgan,mixed_kernel,0.044650375843048096,0.0019960079807788134,0.044650375843048096,"{'gamma_rbf': tensor(0.0009, device='cuda:0'), 'sigma_lap': tensor(523.0312, device='cuda:0'), 'alpha': 0.5}"
177,bgan,w2_ot,20.32772379881888,,,{}
177,midj,rbf_kernel,0.06356537342071533,0.0019960079807788134,5.404597686720081e-05,"{'gamma': tensor(0.0009, device='cuda:0')}"
177,midj,laplacian_kernel,0.041973114013671875,0.0019960079807788134,8.024973794817924e-05,"{'sigma': tensor(523.0312, device='cuda:0')}"
177,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 4.3381e+00,  6.3070e-01,  9.2406e-02,  ..., -3.6513e-01,
         -1.8311e-03,  5.9928e-01],
        [ 6.3063e-01,  4.7604e+00, -7.4250e-01,  ...,  2.8968e-01,
         -2.2905e-01,  4.6239e-01],
        [ 9.2532e-02, -7.4248e-01,  5.5043e+00,  ..., -4.0967e-01,
         -4.9739e-01, -2.9307e-01],
        ...,
        [-3.6506e-01,  2.8966e-01, -4.0964e-01,  ...,  5.1216e+00,
         -6.9981e-02,  3.1233e-01],
        [-1.8625e-03, -2.2900e-01, -4.9749e-01,  ..., -7.0004e-02,
          5.4257e+00,  3.5874e-01],
        [ 5.9919e-01,  4.6235e-01, -2.9306e-01,  ...,  3.1227e-01,
          3.5866e-01,  5.0971e+00]], device='cuda:0')}"
177,midj,mixed_kernel,0.052769243717193604,0.0019960079807788134,0.052769243717193604,"{'gamma_rbf': tensor(0.0009, device='cuda:0'), 'sigma_lap': tensor(523.0312, device='cuda:0'), 'alpha': 0.5}"
177,midj,w2_ot,21.51026543293915,,,{}
177,sd_15,rbf_kernel,0.09937894344329834,0.0019960079807788134,8.44961978145875e-05,"{'gamma': tensor(0.0009, device='cuda:0')}"
177,sd_15,laplacian_kernel,0.07547098398208618,0.0019960079807788134,0.00014429537986870855,"{'sigma': tensor(523.0312, device='cuda:0')}"
177,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 7.2319e+00,  8.7682e-01,  5.7930e-01,  ..., -5.0564e-01,
         -5.4362e-01,  7.3673e-01],
        [ 8.7680e-01,  5.7172e+00, -8.3385e-02,  ...,  5.0045e-01,
         -1.3040e+00,  6.0373e-03],
        [ 5.7934e-01, -8.3427e-02,  6.3018e+00,  ..., -1.6953e-01,
         -1.3641e-01,  5.8559e-01],
        ...,
        [-5.0556e-01,  5.0037e-01, -1.6946e-01,  ...,  6.9981e+00,
          6.6939e-03,  1.4079e+00],
        [-5.4349e-01, -1.3040e+00, -1.3635e-01,  ...,  6.8187e-03,
          6.4130e+00,  2.0293e-03],
        [ 7.3679e-01,  5.9816e-03,  5.8554e-01,  ...,  1.4079e+00,
          2.0263e-03,  7.7976e+00]], device='cuda:0')}"
177,sd_15,mixed_kernel,0.08742499351501465,0.0019960079807788134,0.08742499351501465,"{'gamma_rbf': tensor(0.0009, device='cuda:0'), 'sigma_lap': tensor(523.0312, device='cuda:0'), 'alpha': 0.5}"
177,sd_15,w2_ot,20.360959019945106,,,{}
541,bgan,rbf_kernel,0.19727587699890137,0.0019960079807788134,0.00013173719344194978,"{'gamma': tensor(0.0007, device='cuda:0')}"
541,bgan,laplacian_kernel,0.11700218915939331,0.0019960079807788134,0.00019649190653581172,"{'sigma': tensor(595.4555, device='cuda:0')}"
